title,author,coverUrl,openLibraryId,url
"Act of Mercy","Mandy M. Roth","https://covers.openlibrary.org/b/id/8742040-L.jpg","OL19920947W","https://openlibrary.org/works/OL19920947W"
"Acts of Violet","Margarita Montimore","https://covers.openlibrary.org/b/id/12817974-L.jpg","",""
"Addiction and Grace: Exploring the Psychology of Addiction, the Power of Spirituality, and the Path to Freedom Through Contemplative Practices","Gerald G. May","https://covers.openlibrary.org/b/id/45765-L.jpg","",""
"Adnan's Story: The Search for Truth and Justice After Serial","Rabia Chaudry","https://books.google.com/books/content?id=BU4BCwAAQBAJ&printsec=frontcover&img=1&zoom=2&edge=curl&source=gbs_api","",""
"Adults","Emma Jane Unsworth","https://covers.openlibrary.org/b/id/12502073-L.jpg","OL20745344W","https://openlibrary.org/works/OL20745344W"
"After All I've Done","Mina Hardy","https://covers.openlibrary.org/b/id/10511424-L.jpg","OL21902936W","https://openlibrary.org/works/OL21902936W"
"After Anna","Lisa Scottoline","https://covers.openlibrary.org/b/id/9483002-L.jpg","OL19732576W","https://openlibrary.org/works/OL19732576W"
"After You","Jojo Moyes","https://covers.openlibrary.org/b/id/8118938-L.jpg","OL17364681W","https://openlibrary.org/works/OL17364681W"
"Agnes at the End of the World","Kelly McWilliams","https://covers.openlibrary.org/b/id/10175281-L.jpg","",""
"Alas, Babylon","Pat Frank","https://covers.openlibrary.org/b/id/2540438-L.jpg","OL2003035W","https://openlibrary.org/works/OL2003035W"
"Alexander and the Terrible, Horrible, No Good, Very Bad Day","Judith Viorst","https://covers.openlibrary.org/b/id/433572-L.jpg","",""
"Alice’s Adventures in Wonderland / Through the Looking-Glass","Lewis Carroll","https://covers.openlibrary.org/b/id/10527372-L.jpg","OL151411W","https://openlibrary.org/works/OL151411W"
"Alive: The Story of the Andes Survivors","Piers Paul Read","https://covers.openlibrary.org/b/isbn/9780380003211-L.jpg","",""
"All I Want is Everything","Cecily von Ziegesar","https://books.google.com/books/content?id=aTw3vdPW-PAC&printsec=frontcover&img=1&zoom=2&source=gbs_api","",""
"All Secure: One Delta Force Operator's Fight From the Battlefield to the Homefront","Tom Satterly","https://covers.openlibrary.org/b/id/10100484-L.jpg","",""
"All Systems Red","Martha Wells","https://covers.openlibrary.org/b/id/9157148-L.jpg","OL17914663W","https://openlibrary.org/works/OL17914663W"
"All These Beautiful Strangers","Elizabeth Klehfoth","https://covers.openlibrary.org/b/id/9252232-L.jpg","OL19746420W","https://openlibrary.org/works/OL19746420W"
"All These Bodies","Kendare Blake","https://covers.openlibrary.org/b/id/11380634-L.jpg","",""
"All This I Will Give to You","Dolores Redondo","https://covers.openlibrary.org/b/id/9214781-L.jpg","OL20572704W","https://openlibrary.org/works/OL20572704W"
"All the Bad Apples","Moïra Fowley-Doyle","https://covers.openlibrary.org/b/id/8789912-L.jpg","OL20142366W","https://openlibrary.org/works/OL20142366W"
"All the Colors of the Dark","Chris  Whitaker","https://covers.openlibrary.org/b/id/14643105-L.jpg","",""
"All the Crooked Saints","Maggie Stiefvater","https://covers.openlibrary.org/b/id/8770063-L.jpg","",""
"All the Light We Cannot See","Anthony Doerr","https://covers.openlibrary.org/b/id/14847382-L.jpg","",""
"All the Missing Girls","Megan Miranda","https://covers.openlibrary.org/b/id/10936198-L.jpg","OL20060401W","https://openlibrary.org/works/OL20060401W"
"All the Stars in the Sky","Sarah Lyons Fleming","https://covers.openlibrary.org/b/id/13907365-L.jpg","OL34965795W","https://openlibrary.org/works/OL34965795W"
"Allegiant","Veronica Roth","https://covers.openlibrary.org/b/id/10528095-L.jpg","",""
"Alpha & Omega","Patricia Briggs","https://covers.openlibrary.org/b/id/7087722-L.jpg","OL16361381W","https://openlibrary.org/works/OL16361381W"
"Altered","Rob Kaufman","https://covers.openlibrary.org/b/id/14704315-L.jpg","OL29205945W","https://openlibrary.org/works/OL29205945W"
"Altered Carbon","Richard K. Morgan","https://covers.openlibrary.org/b/id/210813-L.jpg","",""
"American Demon","Kim Harrison","https://covers.openlibrary.org/b/id/10207097-L.jpg","",""
"American Dirt","Jeanine Cummins","https://covers.openlibrary.org/b/id/9255156-L.jpg","OL20639181W","https://openlibrary.org/works/OL20639181W"
"American Gods: Tenth Anniversary","Neil Gaiman","https://books.google.com/books/content?id=ryCGrxr7z98C&printsec=frontcover&img=1&zoom=2&edge=curl&source=gbs_api","",""
"American Idolatry: How Christian Nationalism Betrays the Gospel and Threatens the Church","Andrew L. Whitehead","https://books.google.com/books/content?id=cJGYEAAAQBAJ&printsec=frontcover&img=1&zoom=2&edge=curl&source=gbs_api","",""
"American Predator: The Hunt for the Most Meticulous Serial Killer of the 21st Century","Maureen Callahan","https://books.google.com/books/content?id=2uV8DwAAQBAJ&printsec=frontcover&img=1&zoom=2&edge=curl&source=gbs_api","",""
"Among the Missing: An Anecdotal History of Missing Persons from 1800 to the Present","Jay Robert Nash","https://covers.openlibrary.org/b/id/11588402-L.jpg","",""
"An Absolutely Remarkable Thing","Hank Green","https://covers.openlibrary.org/b/id/8565416-L.jpg","",""
"An American Princess: The Many Lives of Allene Tew","Annejet van der Zijl","https://covers.openlibrary.org/b/isbn/9781542099745-L.jpg","",""
"An Anonymous Girl","Greer Hendricks","https://covers.openlibrary.org/b/id/8670357-L.jpg","",""
"An Echo in the Bone","Diana Gabaldon","https://covers.openlibrary.org/b/id/10864620-L.jpg","",""
"An Ember in the Ashes","Sabaa Tahir","https://covers.openlibrary.org/b/id/14559692-L.jpg","OL17786115W","https://openlibrary.org/works/OL17786115W"
"An Ocean of Minutes","Thea Lim","https://covers.openlibrary.org/b/id/8787700-L.jpg","OL20138998W","https://openlibrary.org/works/OL20138998W"
"Anatomy: A Love Story","Dana Schwartz","https://books.google.com/books/content?id=LTArEAAAQBAJ&printsec=frontcover&img=1&zoom=2&edge=curl&source=gbs_api","",""
"And After","Sarah Lyons Fleming","https://covers.openlibrary.org/b/id/12619303-L.jpg","OL27290797W","https://openlibrary.org/works/OL27290797W"
"And I Darken","Kiersten White","https://covers.openlibrary.org/b/id/8458313-L.jpg","OL19346631W","https://openlibrary.org/works/OL19346631W"
"And Then She Was Gone","Christopher Greyson","https://covers.openlibrary.org/b/id/11984048-L.jpg","OL25291862W","https://openlibrary.org/works/OL25291862W"
"And the Mountains Echoed","Khaled Hosseini","https://covers.openlibrary.org/b/id/7258558-L.jpg","OL16804912W","https://openlibrary.org/works/OL16804912W"
"And to Think That I Saw It on Mulberry Street","Dr. Seuss","https://covers.openlibrary.org/b/id/11873-L.jpg","",""
"Angel of Chaos","Debra Dunbar","https://covers.openlibrary.org/b/id/8536236-L.jpg","OL26602757W","https://openlibrary.org/works/OL26602757W"
"Angelfall","Susan Ee","https://covers.openlibrary.org/b/id/8662423-L.jpg","",""
"Angels & Demons","Dan    Brown","https://covers.openlibrary.org/b/id/10578354-L.jpg","",""
"Angels' Blood","Nalini Singh","https://covers.openlibrary.org/b/id/6303237-L.jpg","",""
"Angry Betty","Jamie Lee Scott","https://covers.openlibrary.org/b/id/11447072-L.jpg","OL24719398W","https://openlibrary.org/works/OL24719398W"
"Animal Farm","Ann Patchett","https://covers.openlibrary.org/b/id/11261770-L.jpg","",""
"Another Broken Wizard","Colin Dodds","https://covers.openlibrary.org/b/id/12801807-L.jpg","",""
"Anxious People","Fredrik Backman","https://covers.openlibrary.org/b/id/10087939-L.jpg","OL20793817W","https://openlibrary.org/works/OL20793817W"
"Apeirogon","Colum McCann","https://covers.openlibrary.org/b/id/12389526-L.jpg","OL22163654W","https://openlibrary.org/works/OL22163654W"
"Appalachian Song","Michelle Shocklee","https://books.google.com/books/content?id=JMOszwEACAAJ&printsec=frontcover&img=1&zoom=2&source=gbs_api","OL36715667W","https://openlibrary.org/works/OL36715667W"
"Are You There God? It’s Me, Margaret","Judy Blume","https://covers.openlibrary.org/b/id/8749989-L.jpg","",""
"Arianna Rose","Jennifer Martucci","https://covers.openlibrary.org/b/id/9008521-L.jpg","OL20343565W","https://openlibrary.org/works/OL20343565W"
"Aristotle and Dante Discover the Secrets of the Universe","Benjamin Alire Sáenz","https://covers.openlibrary.org/b/id/13125906-L.jpg","",""
"Ask Again, Yes","Mary Beth Keane","https://covers.openlibrary.org/b/id/8755935-L.jpg","",""
"Assuming Names: A Con Artist's Masquerade","Tanya Thompson","https://covers.openlibrary.org/b/isbn/9781311789785-L.jpg","",""
"At Grave's End","Jeaniene Frost","https://covers.openlibrary.org/b/id/6308476-L.jpg","",""
"At Night We Walk in Circles","Daniel Alarcón","https://covers.openlibrary.org/b/id/7865374-L.jpg","",""
"At the End of Every Day","Arianna  Reiche","https://covers.openlibrary.org/b/id/13470036-L.jpg","",""
"At the Water's Edge","Sara Gruen","https://covers.openlibrary.org/b/id/14823689-L.jpg","",""
"Atlas Shrugged","Ayn Rand","https://covers.openlibrary.org/b/id/296148-L.jpg","",""
"Atonement","Ian McEwan","https://covers.openlibrary.org/b/id/8381043-L.jpg","OL1855944W","https://openlibrary.org/works/OL1855944W"
"Attached: The New Science of Adult Attachment and How It Can Help You Find—and Keep—Love","Amir Levine","https://covers.openlibrary.org/b/id/8620497-L.jpg","",""
"Aurora Rising","Amie Kaufman","https://covers.openlibrary.org/b/id/8807574-L.jpg","",""
"Authentic Happiness: Using the New Positive Psychology to Realize Your Potential for Lasting Fulfillment","Martin E.P. Seligman","https://covers.openlibrary.org/b/id/15159963-L.jpg","",""
"Awake at Dawn","C.C. Hunter","https://covers.openlibrary.org/b/id/12712888-L.jpg","",""
"Awakening","Cate Tiernan","https://covers.openlibrary.org/b/id/109836-L.jpg","",""
"Babel","R.F. Kuang","https://covers.openlibrary.org/b/id/14573249-L.jpg","",""
"Baby Teeth","Zoje Stage","https://covers.openlibrary.org/b/id/10138208-L.jpg","OL19763915W","https://openlibrary.org/works/OL19763915W"
"Bad Blood: Secrets and Lies in a Silicon Valley Startup","John Carreyrou","https://books.google.com/books/content?id=CcJFDwAAQBAJ&printsec=frontcover&img=1&zoom=2&edge=curl&source=gbs_api","OL27695113W","https://openlibrary.org/works/OL27695113W"
"Be the Girl","K.A. Tucker","https://covers.openlibrary.org/b/id/9328379-L.jpg","OL34559409W","https://openlibrary.org/works/OL34559409W"
"Beach Read","Emily Henry","https://covers.openlibrary.org/b/id/9426296-L.jpg","",""
"Beartown","Neil Smith","https://covers.openlibrary.org/b/id/11202500-L.jpg","",""
"Because of Winn-Dixie","Kate DiCamillo","https://covers.openlibrary.org/b/id/7271224-L.jpg","",""
"Becoming","Michelle Obama","https://covers.openlibrary.org/b/id/12983462-L.jpg","",""
"Becoming Free Indeed: My Story of Disentangling Faith from Fear","Jinger Duggar Vuolo","https://books.google.com/books/content?id=WuKLEAAAQBAJ&printsec=frontcover&img=1&zoom=2&edge=curl&source=gbs_api","",""
"Becoming Mrs. Lewis","Patti Callahan Henry","https://covers.openlibrary.org/b/id/8842780-L.jpg","OL19754707W","https://openlibrary.org/works/OL19754707W"
"Bedtime for Frances","Garth Williams","https://covers.openlibrary.org/b/id/15138706-L.jpg","",""
"Beezus and Ramona","Beverly Cleary","https://covers.openlibrary.org/b/id/117386-L.jpg","",""
"Before I Fall","Lauren Oliver","https://covers.openlibrary.org/b/id/8066987-L.jpg","",""
"Before She Knew Him","Peter  Swanson","https://covers.openlibrary.org/b/id/8797434-L.jpg","OL20152738W","https://openlibrary.org/works/OL20152738W"
"Before We Were Innocent","Ella Berman","https://covers.openlibrary.org/b/id/13299661-L.jpg","OL28732666W","https://openlibrary.org/works/OL28732666W"
"Before We Were Yours","Lisa Wingate","https://covers.openlibrary.org/b/id/8315369-L.jpg","",""
"Before the Coffee Gets Cold","Toshikazu Kawaguchi","https://covers.openlibrary.org/b/id/10138333-L.jpg","",""
"Before, During, After","Richard Bausch","https://covers.openlibrary.org/b/id/11555621-L.jpg","",""
"Behind Closed Doors","B.A. Paris","https://covers.openlibrary.org/b/id/9802299-L.jpg","",""
"Being Mortal: Medicine and What Matters in the End","Atul Gawande","https://covers.openlibrary.org/b/id/12024544-L.jpg","",""
"Belle Chasse","Suzanne  Johnson","https://covers.openlibrary.org/b/id/11520837-L.jpg","",""
"Belle Cora","Phillip Margulies","https://covers.openlibrary.org/b/isbn/0385532768-L.jpg","",""
"Beowulf","Unknown","https://covers.openlibrary.org/b/id/14653911-L.jpg","OL38944809W","https://openlibrary.org/works/OL38944809W"
"Best Kept Secret","Jeffrey Archer","https://covers.openlibrary.org/b/id/11279254-L.jpg","OL17043106W","https://openlibrary.org/works/OL17043106W"
"Best of Friends","Kamila Shamsie","https://covers.openlibrary.org/b/id/12953743-L.jpg","",""
"Betsy-Tacy","Maud Hart Lovelace","https://covers.openlibrary.org/b/id/6980391-L.jpg","",""
"Better the Blood","Michael  Bennett","https://covers.openlibrary.org/b/id/13121036-L.jpg","",""
"Between Decisions","W.R. Gingell","https://covers.openlibrary.org/b/id/7712685-L.jpg","",""
"Between Family","W.R. Gingell","https://covers.openlibrary.org/b/id/1162973-L.jpg","",""
"Between Floors","W.R. Gingell","https://covers.openlibrary.org/b/id/11315556-L.jpg","OL24635786W","https://openlibrary.org/works/OL24635786W"
"Between Homes","W.R. Gingell","https://books.google.com/books/content?id=C5F0EAAAQBAJ&printsec=frontcover&img=1&zoom=2&edge=curl&source=gbs_api","",""
"Between Jobs","W.R. Gingell","https://covers.openlibrary.org/b/id/9204119-L.jpg","",""
"Between Kings","W.R. Gingell","https://covers.openlibrary.org/b/id/8795805-L.jpg","",""
"Between Shades of Gray","Ruta Sepetys","https://books.google.com/books/content?id=AjwdDgAAQBAJ&printsec=frontcover&img=1&zoom=2&edge=curl&source=gbs_api","",""
"Between Shifts","W.R. Gingell","https://covers.openlibrary.org/b/id/13115185-L.jpg","OL33037640W","https://openlibrary.org/works/OL33037640W"
"Between Two Fires","Christopher Buehlman","https://books.google.com/books/content?id=1b1-tgAACAAJ&printsec=frontcover&img=1&zoom=2&source=gbs_api","",""
"Between Two Kingdoms: A Memoir of a Life Interrupted","Suleika Jaouad","https://covers.openlibrary.org/b/id/9334048-L.jpg","",""
"Between You and Me","Lisa    Hall","https://covers.openlibrary.org/b/id/14828136-L.jpg","",""
"Beyond the Wand: The Magic & Mayhem of Growing Up a Wizard","Tom Felton","https://covers.openlibrary.org/b/id/12975513-L.jpg","",""
"Big Little Lies","Liane Moriarty","https://covers.openlibrary.org/b/id/7352410-L.jpg","",""
"Birthmarked","Caragh M. O'Brien","https://covers.openlibrary.org/b/id/7020779-L.jpg","",""
"Bitten","Kelley Armstrong","https://covers.openlibrary.org/b/id/13323668-L.jpg","",""
"Bitter Spirits","Jenn Bennett","https://covers.openlibrary.org/b/id/7658667-L.jpg","",""
"Black Magic Sanction","Kim Harrison","https://covers.openlibrary.org/b/id/6302274-L.jpg","",""
"Black Sun","Rebecca Roanhorse","https://covers.openlibrary.org/b/id/10357412-L.jpg","",""
"Bless Your Heart","Kimbra Swain","https://covers.openlibrary.org/b/id/8864692-L.jpg","OL20213321W","https://openlibrary.org/works/OL20213321W"
"Blood Bound","Patricia Briggs","https://covers.openlibrary.org/b/id/284401-L.jpg","",""
"Blood Cross","Faith Hunter","https://covers.openlibrary.org/b/id/9909234-L.jpg","",""
"Blood Heir","Amélie Wen Zhao","https://covers.openlibrary.org/b/id/10721773-L.jpg","",""
"Blood Promise","Richelle Mead","https://covers.openlibrary.org/b/id/13765694-L.jpg","",""
"Blood Sugar","Sascha Rothchild","https://covers.openlibrary.org/b/id/12718991-L.jpg","",""
"Bloodline Gypsy","Shirley Martin","https://books.google.com/books/content?id=TARWqb9QL50C&printsec=frontcover&img=1&zoom=2&edge=curl&source=gbs_api","OL30253981W","https://openlibrary.org/works/OL30253981W"
"Bloodline Gypsy: Jook and Gypsies","Shirley A. Martin","https://books.google.com/books/content?id=TARWqb9QL50C&printsec=frontcover&img=1&zoom=2&edge=curl&source=gbs_api","",""
"Blue Hat, Green Hat","Sandra Boynton","https://covers.openlibrary.org/b/id/405669-L.jpg","",""
"Blue Lily, Lily Blue","Maggie Stiefvater","https://covers.openlibrary.org/b/id/15127797-L.jpg","",""
"Bone Crossed","Patricia Briggs","https://covers.openlibrary.org/b/id/10547572-L.jpg","",""
"Born at Midnight","C.C. Hunter","https://covers.openlibrary.org/b/id/6961738-L.jpg","",""
"Born of Fire","Sherrilyn Kenyon","https://covers.openlibrary.org/b/id/8753798-L.jpg","",""
"Born of Night","Sherrilyn Kenyon","https://covers.openlibrary.org/b/id/6889250-L.jpg","OL16076186W","https://openlibrary.org/works/OL16076186W"
"Bossypants","Tina Fey","https://covers.openlibrary.org/b/id/6717606-L.jpg","OL15703704W","https://openlibrary.org/works/OL15703704W"
"Brave New World","Aldous Huxley","https://covers.openlibrary.org/b/id/14352364-L.jpg","",""
"Bread and Jam for Frances (Frances the Badger)","Russell Hoban","https://covers.openlibrary.org/b/isbn/9780064430968-L.jpg","",""
"Breaking Dawn","Stephenie Meyer","https://covers.openlibrary.org/b/id/12643419-L.jpg","OL5720022W","https://openlibrary.org/works/OL5720022W"
"Bridge of Birds","Barry Hughart","https://covers.openlibrary.org/b/id/207103-L.jpg","",""
"Bridge to Terabithia","Katherine Paterson","https://covers.openlibrary.org/b/id/12627324-L.jpg","",""
"Bright We Burn","Kiersten White","https://covers.openlibrary.org/b/id/8811539-L.jpg","OL19748557W","https://openlibrary.org/works/OL19748557W"
"Bright Young Women","Jessica Knoll","https://covers.openlibrary.org/b/id/13825996-L.jpg","",""
"Brisingr","Christopher Paolini","https://covers.openlibrary.org/b/id/14848397-L.jpg","",""
"Britt-Marie Was Here","Fredrik Backman","https://covers.openlibrary.org/b/id/14402545-L.jpg","",""
"Broken Symmetry","Dan Rix","https://covers.openlibrary.org/b/id/10837254-L.jpg","",""
"Brooke Shields Is Not Allowed to Get Old: Thoughts on Aging as a Woman","Brooke Shields","https://covers.openlibrary.org/b/isbn/9780349441917-L.jpg","",""
"Brooklyn","Colm Tóibín","https://covers.openlibrary.org/b/id/5722548-L.jpg","",""
"Brother","David Chariandy","https://covers.openlibrary.org/b/id/8507755-L.jpg","",""
"Brown Bear, Brown Bear, What Do You See?","Bill Martin Jr.","https://covers.openlibrary.org/b/id/12816865-L.jpg","",""
"Bullet","Laurell K. Hamilton","https://covers.openlibrary.org/b/id/6304217-L.jpg","",""
"Bury Our Bones in the Midnight Soil","V.E. Schwab","https://books.google.com/books/content?id=vAnK0AEACAAJ&printsec=frontcover&img=1&zoom=2&source=gbs_api","",""
