title,author,isbn,openLibraryId,url
"Cry, the Beloved Country","Alan Paton","","OL2384132W","https://openlibrary.org/works/OL2384132W"
"Cue the Sun! The Invention of Reality TV","Emily Nussbaum","0525508996","",""
"Curious George","H.A. Rey","","OL8217475W","https://openlibrary.org/works/OL8217475W"
"Curse of the Narrows","Laura Mac Donald","0002007878","",""
"Cut and Thirst","Margaret Atwood","1662523335","",""
"CyberStorm","Matthew Mather","0991677196","",""
"Daily Self-Discipline: Everyday Habits and Exercises to Build Self-Discipline and Achieve Your Goals","Martin Meadows","","",""
"Daisy Jones & The Six","Taylor Jenkins Reid","1524798622","",""
"Daisy's War","Shayne Parkinson","1476353743","OL25847153W","https://openlibrary.org/works/OL25847153W"
"Dandelion Iron","Aaron Michael Ritchey","1614753504","OL20231506W","https://openlibrary.org/works/OL20231506W"
"Dandelion Wine","Ray Bradbury","0671037706","",""
"Dark Genesis","A.D. Koboah","","",""
"Dark Hunt","Kim  Richardson","","OL20862363W","https://openlibrary.org/works/OL20862363W"
"Dark Magick","Cate Tiernan","0141311126","",""
"Dark Possession","Christine Feehan","0425217094","",""
"Dark Stranger: The Dream","I.T. Lucas","","",""
"Dark Tide","Stephen Puleo","0807050210","",""
"Darkdawn","Jay Kristoff","","OL20261819W","https://openlibrary.org/works/OL20261819W"
"Darkfire","Garrett Robinson","1941076378","OL26918467W","https://openlibrary.org/works/OL26918467W"
"Daughter of Time Trilogy","Erec Stebbins","1942360061","",""
"Dead Reckoning","Charlaine Harris","","OL15670556W","https://openlibrary.org/works/OL15670556W"
"Deadly Sting","Jennifer Estep","1451688997","",""
"Dear Edward","Ann Napolitano","","OL20624674W","https://openlibrary.org/works/OL20624674W"
"Dear Fahrenheit 451: Love and Heartbreak in the Stacks","Annie Spence","1250106494","",""
"Dear Mrs. Bird","A.J. Pearce","1501170066","",""
"Deceit","Nick van der Leek","","",""
"Deep Survival: Who Lives, Who Dies, and Why","Laurence Gonzales","0393353710","",""
"Deep Work: Rules for Focused Success in a Distracted World","Cal Newport","1455586692","",""
"Deep as the Sky, Red as the Sea","Rita Chang-Eppig","1639730370","",""
"Defiance","C.J. Redwine","0062117181","",""
"Delirium","Lauren Oliver","0061726834","",""
"Departure","A.G. Riddle","","OL18818806W","https://openlibrary.org/works/OL18818806W"
"Destined for an Early Grave","Jeaniene Frost","0061583219","",""
"Devil's Paw","Debra Dunbar","","OL19622083W","https://openlibrary.org/works/OL19622083W"
"Digital Minimalism: Choosing a Focused Life in a Noisy World","Cal Newport","0525536515","",""
"Displaced","David Korson","","OL22204072W","https://openlibrary.org/works/OL22204072W"
"Divergent","Veronica Roth","0062024035","OL15719630W","https://openlibrary.org/works/OL15719630W"
"Divergent Series Complete Box Set (Divergent, #1-3)","Veronica Roth","0062278789","",""
"Don Quixote","Miguel de Cervantes Saavedra","","OL25543788W","https://openlibrary.org/works/OL25543788W"
"Don't Make a Sound","T.R. Ragan","1542093864","OL20757083W","https://openlibrary.org/works/OL20757083W"
"Dreams Lie Beneath","Rebecca   Ross","0063015951","OL26413608W","https://openlibrary.org/works/OL26413608W"
"Driving Mr. Albert: A Trip Across America with Einstein's Brain","Michael Paterniti","0307765350","",""
"Driving Over Lemons: An Optimist in Andalucía","Chris  Stewart","0953522709","",""
"Drowning with Others","Linda Keir","1503957993","OL20839819W","https://openlibrary.org/works/OL20839819W"
"Eleanor & Park","Rainbow Rowell","1250012570","",""
"Elizabeth I: Legendary Queen Of England","Michael W. Simmons","","",""
"Elon Musk","Walter Isaacson","1982181281","",""
"Elven Blood","Debra Dunbar","8800880088","OL26602760W","https://openlibrary.org/works/OL26602760W"
"Enemy of the People: The Untold Story of the Journalists Who Opposed Hitler","Terrence Petty","1542042410","",""
"Eragon","Christopher Paolini","0375826696","",""
"Etched in Bone","Anne Bishop","","OL20048406W","https://openlibrary.org/works/OL20048406W"
"Eternal Kiss of Darkness","Jeaniene Frost","0061783161","",""
"Every Heart a Doorway","Seanan McGuire","0765385503","",""
"Every Last Secret","A.R. Torre","1542020182","",""
"Every Vow You Break","Peter  Swanson","0062980033","",""
"Everyone Is Watching","Heather Gudenkauf","0778310795","OL37612217W","https://openlibrary.org/works/OL37612217W"
"Everyone in My Family Has Killed Someone","Benjamin   Stevenson","0063279029","",""
"Everything Happens for a Reason: And Other Lies I've Loved","Kate Bowler","0399592067","",""
"Everything Here Is Beautiful","Mira T. Lee","0735221960","",""
"Family","J. California Cooper","","OL1891605W","https://openlibrary.org/works/OL1891605W"
"Family of Liars","E. Lockhart","","OL26909900W","https://openlibrary.org/works/OL26909900W"
"Fantasy of Fire","Kelly St. Clare","","OL24573622W","https://openlibrary.org/works/OL24573622W"
"Fantasy of Flight","Kelly St. Clare","","OL24477969W","https://openlibrary.org/works/OL24477969W"
"Fantasy of Frost","Kelly St. Clare","","OL27111620W","https://openlibrary.org/works/OL27111620W"
"Firefly Lane","Kristin Hannah","0312364083","",""
"First Frost","Jennifer Estep","0758275072","OL26322818W","https://openlibrary.org/works/OL26322818W"
"First Grave on the Right","Darynda Jones","0312662750","",""
"First Lie Wins","Ashley Elston","","OL37505495W","https://openlibrary.org/works/OL37505495W"
"First Shift: Legacy","Hugh Howey","","OL17406591W","https://openlibrary.org/works/OL17406591W"
"Five Broken Blades","Mai Corland","1649376901","",""
"Five Presidents: My Extraordinary Journey with Eisenhower, Kennedy, Johnson, Nixon, and Ford","Clint Hill","","",""
"Flashlight","Susan Choi","","OL42408368W","https://openlibrary.org/works/OL42408368W"
"Flowers for Algernon","Daniel Keyes","","OL515754W","https://openlibrary.org/works/OL515754W"
"For Camelot's Honor","Sarah Zettel","0373802188","",""
"Fosgate's Game","David C.   Cassidy","","OL22446670W","https://openlibrary.org/works/OL22446670W"
"Found","Harlan Coben","1409124517","OL17303315W","https://openlibrary.org/works/OL17303315W"
"Franny and Zooey","J.D. Salinger","0316769029","",""
"Friday Night Bites","Chloe Neill","","OL13652470W","https://openlibrary.org/works/OL13652470W"
"From Blood and Ash","Jennifer L. Armentrout","1952457017","OL27838518W","https://openlibrary.org/works/OL27838518W"
"From the Mixed-Up Files of Mrs. Basil E. Frankweiler","E.L. Konigsburg","0744583276","",""
"Frostbite","Richelle Mead","","OL8488889W","https://openlibrary.org/works/OL8488889W"
"Funny Story","Emily Henry","","OL37575890W","https://openlibrary.org/works/OL37575890W"
"Galveston","Nic Pizzolatto","1439166641","",""
"Gemina","Amie Kaufman","0553499181","",""
"Genesis and the Big Bang Theory: The Discovery Of Harmony Between Modern Science And The Bible","Gerald Schroeder","","",""
"Get Your Sh*t Together: How to Stop Worrying About What You Should Do So You Can Finish What You Need to Do and Start Doing What You Want to Do","Sarah Knight","","",""
"Girl in the Rearview Mirror","Kelsey Rae Dimberg","0062867946","OL20813351W","https://openlibrary.org/works/OL20813351W"
"Girls of Paper and Fire","Natasha Ngan","0316561363","",""
"Go Ask Alice","Beatrice Sparks","1416914633","",""
"Go as a River","Shelley Read","1954118236","",""
"God Touched","John Conroe","","OL24232444W","https://openlibrary.org/works/OL24232444W"
"Godsgrave","Jay Kristoff","1466885041","OL20913736W","https://openlibrary.org/works/OL20913736W"
"Gone 'til November","Wallace Stroby","0312560249","",""
"Gone with the Wind","Margaret Mitchell","0446365386","",""
"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch","Neil Gaiman","0060853972","",""
"Good as Gone","Amy Gentry","0544916077","OL20198106W","https://openlibrary.org/works/OL20198106W"
"Goodnight Moon","Margaret Wise Brown","0060775858","",""
"Gravity","Abigail Boyd","","OL39819817W","https://openlibrary.org/works/OL39819817W"
"Great Expectations","Kate Flint","0192833596","",""
"Greenlights","Matthew McConaughey","0593139135","",""
"Hamlet","Rex Gibson","0521618746","",""
"Hang the Moon","Jeannette Walls","1501117297","",""
"Harry Potter and the Chamber of Secrets","J.K. Rowling","","OL82537W","https://openlibrary.org/works/OL82537W"
"Harry Potter and the Sorcerer's Stone","J.K. Rowling","0439554934","",""
"Hashimoto's Protocol: A 90-Day Plan for Reversing Thyroid Symptoms and Getting Your Life Back","Izabella Wentz","","",""
"Heart of Venom","Jennifer Estep","1451689004","OL34312365W","https://openlibrary.org/works/OL34312365W"
"Heartbreaker","Julie Garwood","1416503811","",""
"Hekla's Children","James Brogden","1785654381","",""
"Hell's Princess: The Mystery of Belle Gunness, Butcher of Men","Harold Schechter","1503944913","",""
"Her One Mistake","Heidi Perks","","OL20152597W","https://openlibrary.org/works/OL20152597W"
"Here I Am","Jonathan Safran Foer","0241146186","",""
"Hidden Bodies","Caroline Kepnes","1476785635","",""
"Hit List","Laurell K. Hamilton","0425241130","",""
"Home Is Where the Bodies Are","Jeneva Rose","","OL37615492W","https://openlibrary.org/works/OL37615492W"
"Horse","Geraldine Brooks","0399562966","",""
"Hounded","Kevin Hearne","0345522478","",""
"House of Earth and Blood","Sarah J. Maas","1635574048","",""
"How Not to Murder Your Ex","Katie Marsh","1785138758","OL36809821W","https://openlibrary.org/works/OL36809821W"
"How To Be a Good Wife","Emma  Chapman","1447216180","",""
"How To Get Better At Anything","Paul McMahon","1732604657","",""
"How to ADHD: An Insider's Guide to Working with Your Brain (Not Against It)","Jessica McCabe","0593578945","",""
"How to Build a Girl","Caitlin Moran","","OL17605692W","https://openlibrary.org/works/OL17605692W"
"How to End a Love Story","Yulin Kuang","","OL37579040W","https://openlibrary.org/works/OL37579040W"
"How to Hang a Witch","Adriana Mather","0553539485","OL19913968W","https://openlibrary.org/works/OL19913968W"
"How to Not Die Alone: The Surprising Science That Will Help You Find Love","Logan Ury","1982120622","",""
"How to Read a Book: The Classic Guide to Intelligent Reading","Mortimer J. Adler","","OL31652795W","https://openlibrary.org/works/OL31652795W"
"How to Take Smart Notes","Sönke Ahrens","","OL18635700W","https://openlibrary.org/works/OL18635700W"
"How to Take Smart Notes in Obsidian","Joshua Duffney","","",""
"I Can Be a Better You","Tarryn Fisher","","OL24167213W","https://openlibrary.org/works/OL24167213W"
