title,author,isbn,openLibraryId,url
"The Library of the Unwritten","A.J. Hackwith","1984806386","OL20161624W","https://openlibrary.org/works/OL20161624W"
"The Life We Bury","Allen Eskens","1616149981","",""
"The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing","Marie Kondō","1607747316","OL24483165W","https://openlibrary.org/works/OL24483165W"
"The Light Between Oceans","M.L. Stedman","1742755704","OL20403067W","https://openlibrary.org/works/OL20403067W"
"The Light in Hidden Places","Beata Poźniak","","",""
"The Little House Collection (Little House, #1-9)","Laura Ingalls Wilder","0060529962","",""
"The Lochlann Treaty: Complete Series (The Lochlann Treaty, #1-4)","Robin D. Mahle","","",""
"The Looming Tower: Al-Qaeda and the Road to 9/11","Lawrence Wright","","",""
"The Loop","Jeremy Robert Johnson","1534454292","",""
"The Lorax","Dr. Seuss","0679889108","",""
"The Lost Apothecary","Sarah Penner","0778311015","",""
"The Lost Bookshop","Evie  Woods","0008609209","OL37893942W","https://openlibrary.org/works/OL37893942W"
"The Lost Girls","Sarah Painter","","OL20925772W","https://openlibrary.org/works/OL20925772W"
"The Magpie Lord","K.J. Charles","0995799024","OL24236164W","https://openlibrary.org/works/OL24236164W"
"The Making of Biblical Womanhood: How the Subjugation of Women Became Gospel Truth","Beth Allison Barr","1587434709","",""
"The Man Who Broke Capitalism: How Jack Welch Gutted the Heartland and Crushed the Soul of Corporate America―and How to Undo His Legacy","David Gelles","","",""
"The Many Lives of Mama Love: A Memoir of Lying, Stealing, Writing, and Healing","Lara Love Hardin","1982197668","",""
"The Marriage Act","John Marrs","1335005935","",""
"The Maze Runner","James Dashner","0385737947","",""
"The Measure","Nikki Erlick","0063204223","OL25342555W","https://openlibrary.org/works/OL25342555W"
"The Memory of Old Jack: A Novel (Port William)","Wendell Berry","1582430438","",""
"The Memory of Us","Camille Di Maio","1503989747","OL20902460W","https://openlibrary.org/works/OL20902460W"
"The Metronome","D.R. Bell","","",""
"The Miracle Morning Companion Planner","Hal Elrod","1942589220","OL34784868W","https://openlibrary.org/works/OL34784868W"
"The Most Dangerous Game","Richard Connell","1599869691","",""
"The Mother-in-Law","Sally Hepworth","","OL21162933W","https://openlibrary.org/works/OL21162933W"
"The Movement","Avi Datta","1647046289","",""
"The Mutual Friend","Carter  Bays","","",""
"The Mysterious Case of Rudolf Diesel: Genius, Power, and Deception on the Eve of World War I","Douglas Brunt","1982169907","",""
"The Myth of Normal: Trauma, Illness, and Healing in a Toxic Culture","Daniel Maté","0593083881","",""
"The New Wilderness","Diane  Cook","0062333135","",""
"The Old Man and the Sea","Ernest Hemingway","0684830493","",""
"The One","John Marrs","","OL20521432W","https://openlibrary.org/works/OL20521432W"
"The Only Woman in the Room","Marie Benedict","1492666866","OL19666130W","https://openlibrary.org/works/OL19666130W"
"The Other Boleyn Girl","Philippa Gregory","","OL59953W","https://openlibrary.org/works/OL59953W"
"The Other Valley","Scott Alexander Howard","1668015471","",""
"The Outsiders","S.E. Hinton","0670532576","",""
"The Overdue Life of Amy Byler","Kelly Harms","1542090571","OL19865358W","https://openlibrary.org/works/OL19865358W"
"The Paper Magician","Charlie N. Holmberg","","OL17974590W","https://openlibrary.org/works/OL17974590W"
"The Paris Apartment","Lucy Foley","0063003058","",""
"The Passion According to Carmela","Marcos Aguinis","1503960390","OL20179539W","https://openlibrary.org/works/OL20179539W"
"The Past Is Red","Catherynne M. Valente","1250301130","",""
"The Pecan Man","Cassie Dandridge Selleck","","OL24776773W","https://openlibrary.org/works/OL24776773W"
"The Perfect Child","Lucinda Berry","","OL20162129W","https://openlibrary.org/works/OL20162129W"
"The Perfect Girlfriend","Karen  Hamilton","1488034966","OL19365472W","https://openlibrary.org/works/OL19365472W"
"The Perfect Golden Circle","Benjamin Myers","1612199585","",""
"The Perfect Marriage","Jeneva Rose","","OL24315820W","https://openlibrary.org/works/OL24315820W"
"The Picture of Dorian Gray","Jeffrey Eugenides","","",""
"The Pit and the Pendulum","Edgar Allan Poe","0146000110","",""
"The Plagiarist","Hugh Howey","","OL20916893W","https://openlibrary.org/works/OL20916893W"
"The Poet X","Elizabeth Acevedo","","OL19734273W","https://openlibrary.org/works/OL19734273W"
"The Priory of the Orange Tree","Samantha Shannon","","OL20157354W","https://openlibrary.org/works/OL20157354W"
"The Professor and the Madman: A Tale of Murder, Insanity and the Making of the Oxford English Dictionary","Simon Winchester","0060839783","",""
"The Quantum Thief","Hannu Rajaniemi","0575088877","",""
"The Queen of the Damned","Anne Rice","0345419626","",""
"The Queen of the Tearling","Erika Johansen","","OL19670336W","https://openlibrary.org/works/OL19670336W"
"The Queen's Poisoner","Jeff Wheeler","","OL19325292W","https://openlibrary.org/works/OL19325292W"
"The Queens of Camelot: The Complete Series","Sarah Zettel","1504057805","",""
"The Radium Girls: The Dark Story of America’s Shining Women","Kate  Moore","","OL19850073W","https://openlibrary.org/works/OL19850073W"
"The Rat Collector","Chris Yee","0997353600","OL33035950W","https://openlibrary.org/works/OL33035950W"
"The Raven","Gustave Doré","0486290727","",""
"The Raven King","Maggie Stiefvater","0545860350","",""
"The Regular Guy: A Nathan McNamara Story","Elicia Hyder","","",""
"The Remains of the Day","Kazuo Ishiguro","","OL59048W","https://openlibrary.org/works/OL59048W"
"The Reset","Avi Datta","1647047463","OL36480000W","https://openlibrary.org/works/OL36480000W"
"The Residence: Inside the Private World of the White House","Kate Andersen Brower","0062476017","",""
"The Roanoke Girls","Amy Engel","1101906669","",""
"The Rose Code","Kate Quinn","0062943472","OL21171268W","https://openlibrary.org/works/OL21171268W"
"The Rosie Result","Graeme Simsion","1925773817","",""
"The Rosie Result","Graeme Simsion","1925773477","OL20063593W","https://openlibrary.org/works/OL20063593W"
"The Rule of Many","Ashley Saunders","1542043697","OL20894955W","https://openlibrary.org/works/OL20894955W"
"The Rule of One","Ashley Saunders","1503954943","",""
"The Sacrifice","Elicia Hyder","","OL20552568W","https://openlibrary.org/works/OL20552568W"
"The School for Good Mothers","Jessamine Chan","","",""
"The Second Compound","Bob Blink","","",""
"The Secret Diary of Anne Boleyn","Robin Maxwell","0684849690","",""
"The Secrets We Keep","Trisha Leaver","0374300461","",""
"The Selection","Kiera Cass","0062059939","",""
"The Sense of an Ending","Julian Barnes","","OL15991772W","https://openlibrary.org/works/OL15991772W"
"The Serpent and the Wings of Night","Carissa Broadbent","","OL38687712W","https://openlibrary.org/works/OL38687712W"
"The Seven Husbands of Evelyn Hugo","Taylor Jenkins Reid","1501139231","",""
"The Shadow Queen","C.J. Redwine","0062360248","",""
"The Shadow of the Wind","Carlos Ruiz Zafón","","OL36433603W","https://openlibrary.org/works/OL36433603W"
"The Shallows: What the Internet Is Doing to Our Brains","Nicholas Carr","0393339750","",""
"The Silent Patient","Alex Michaelides","1250301696","",""
"The Siren","Elicia Hyder","1945775025","OL32946548W","https://openlibrary.org/works/OL32946548W"
"The Song of Achilles","Madeline Miller","1408816032","",""
"The Song of the Jade Lily","Kirsty Manning","","OL20153023W","https://openlibrary.org/works/OL20153023W"
"The Soul Summoner","Elicia Hyder","","OL44157401W","https://openlibrary.org/works/OL44157401W"
"The Space Between Worlds","Micaiah Johnson","","OL20884745W","https://openlibrary.org/works/OL20884745W"
"The Spies That Bind","Ally Carter","","OL20828172W","https://openlibrary.org/works/OL20828172W"
"The Story of a New Name","Elena Ferrante","","OL34777467W","https://openlibrary.org/works/OL34777467W"
"The Stranger in the Woods: The Extraordinary Story of the Last True Hermit","Michael Finkel","1101924926","",""
"The Suicide Merchant","Cheyne Peck","1665737921","",""
"The Summer that Melted Everything","Tiffany   McDaniel","1250078067","",""
"The Sun Does Shine: How I Found Life and Freedom on Death Row","Anthony Ray Hinton","1250124719","",""
"The Surge","Willow Rose","","OL20879459W","https://openlibrary.org/works/OL20879459W"
"The Survivalists","Kashana Cauley","1593767277","",""
"The Tainted Cup","Robert Jackson Bennett","1984820702","",""
"The Taken","Elicia Hyder","","OL44157401W","https://openlibrary.org/works/OL44157401W"
"The Tao of Pooh","Benjamin Hoff","1405204265","",""
"The Tattooist of Auschwitz","Heather   Morris","","OL19661009W","https://openlibrary.org/works/OL19661009W"
"The Tell-Tale Heart","Byron Glaser","0871917726","",""
"The Ten Thousand Doors of January","Alix E. Harrow","0316421995","",""
"The Tenth Girl","Sara Faring","1250304504","",""
"The Thief's Daughter","Jeff Wheeler","1503990001","",""
"The Things I Didn't Do","Charlotte Barnes","1504073991","",""
"The Things We Wish Were True","Marybeth Mayhew Whalen","1503991067","",""
"The Thirteenth Tale","Diane Setterfield","0743298020","",""
"The Thousandth Floor","Katharine McGee","","OL20042206W","https://openlibrary.org/works/OL20042206W"
"The Thread of Laurel Creek (Sweat and Silence Series)","Dianna Aubin","","",""
"The Three Lives of Alix St Pierre","Natasha Lester","0733647227","",""
"The Thursday Murder Club","Richard Osman","","OL20878311W","https://openlibrary.org/works/OL20878311W"
"The Time Traveler's Wife","Audrey Niffenegger","1939126010","OL4720160W","https://openlibrary.org/works/OL4720160W"
"The Tipping Point: How Little Things Can Make a Big Difference","Malcolm Gladwell","","",""
"The Toll","Neal Shusterman","1481497065","",""
"The Towering Sky","Katharine McGee","","OL19764697W","https://openlibrary.org/works/OL19764697W"
"The Tragedy of Arthur","Arthur Phillips","1400066476","",""
"The Trapdoor","Andrew Klavan","0575602309","",""
"The Traveler #1-3","Tom Abrahams","","",""
"The Truce","Mario Benedetti","","",""
"The Truth About Forever","Sarah Dessen","0142406252","",""
"The Turn: The Hollows Begins with Death","Kim Harrison","1501108719","",""
"The Two Week Curse","Michael  Chatfield","1989377491","OL24134693W","https://openlibrary.org/works/OL24134693W"
"The Ultimate Hitchhiker’s Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1-5)","Douglas Adams","0345453743","",""
"The Unbearable Lightness of Being","Milan Kundera","0571224385","",""
"The Undead Pool","Kim Harrison","0061957933","",""
"The Utterly Uninteresting and Unadventurous Tales of Fred, the Vampire Accountant","Drew  Hayes","","OL19861566W","https://openlibrary.org/works/OL19861566W"
"The Vampire Armand","Anne Rice","0345434803","",""
"The Vampire Files, Volume 1 (Vampire Files, #1-3)","P.N. Elrod","0441010903","",""
"The Vampire Knitting Club","Nancy Warren","1928145485","OL20545941W","https://openlibrary.org/works/OL20545941W"
"The Vanished Birds","Simon Jimenez","0593128982","",""
"The Veil #1-3","Pippa DaCosta","","",""
"The Wager: A Tale of Shipwreck, Mutiny and Murder","David Grann","0385534264","",""
"The Watchmaker of Dachau","Carly Schabowski","1838886400","",""
"The Watchmaker's Daughter: The True Story of World War II Heroine Corrie ten Boom","Larry Loftis","0063234580","",""
"The Wedding People","Alison Espach","","OL37618227W","https://openlibrary.org/works/OL37618227W"
"The Westing Game","Ellen Raskin","","OL4103857W","https://openlibrary.org/works/OL4103857W"
"The Whalebone Theatre","Joanna   Quinn","0593321707","",""
"The Whispered Tales of Graves Grove","J.S. Bailey","","",""
"The Wicked Deep","Shea Ernshaw","1481497340","OL19914219W","https://openlibrary.org/works/OL19914219W"
"The Widow's Husband's Secret Lie","Freida McFadden","","",""
"The Winding","Avi Datta","1647043905","",""
"The Wise Man's Fear","Patrick Rothfuss","0756404738","",""
"The Wish Granter","C.J. Redwine","0062360302","",""
"The Witches of New York","Ami McKay","0062359932","OL20163444W","https://openlibrary.org/works/OL20163444W"
"The Wolves at the Door: The True Story of America's Greatest Female Spy","Judith L. Pearson","","",""
"The Woman in the Window","A.J. Finn","","OL27036508W","https://openlibrary.org/works/OL27036508W"
"The World According to Garp","John Irving","0345915593","OL24316420W","https://openlibrary.org/works/OL24316420W"
"The Wrong Family","Tarryn Fisher","1525810006","",""
"The X-Files: Cold Cases","Joe Harris","","",""
"Theft by Finding: Diaries 1977-2002","David Sedaris","0316154725","",""
"Theft of Swords (The Riyria Revelations, #1-2)","Michael J. Sullivan","0316187747","",""
"These Violent Delights","Chloe Gong","1534457690","",""
"They Both Die at the End","Adam Silvera","0062457799","",""
"They Never Learn","Layne Fargo","1982132027","",""
"Things Fall Apart","Chinua Achebe","","OL891786W","https://openlibrary.org/works/OL891786W"
"Thirst","Jacquelyn Frank","","",""
"This Dark Descent","Kalyn Josephson","1250812364","",""
"This Is Why We Lied","Karin Slaughter","0063336723","",""
"This Life or the Next","Demian Vitanza","1503958817","OL20922742W","https://openlibrary.org/works/OL20922742W"
"This Mortal Coil","Emily Suvada","1481496336","",""
"This Tender Land","William Kent Krueger","1476749299","",""
"Those Who Leave and Those Who Stay","Elena Ferrante","","OL34777467W","https://openlibrary.org/works/OL34777467W"
"Threats of Sky and Sea","Jennifer Ellision","","OL29947335W","https://openlibrary.org/works/OL29947335W"
"Three Hours in Paris","Cara Black","","OL20692475W","https://openlibrary.org/works/OL20692475W"
"Three Mages and a Margarita","Annette Marie","1988153220","",""
"Throne of Glass","Sarah J. Maas","","OL16607146W","https://openlibrary.org/works/OL16607146W"
"Throne of the Fallen","Kerri Maniscalco","","OL34336153W","https://openlibrary.org/works/OL34336153W"
"Thunderhead","Neal Shusterman","1442472472","",""
"Tiger Lily","Jodi Lynn Anderson","0062114611","OL20152913W","https://openlibrary.org/works/OL20152913W"
"Time Bomb","Penelope Wright","","",""
"Time Heals No Wounds","Hendrik Falkenberg","1503988473","OL25385213W","https://openlibrary.org/works/OL25385213W"
"Timelines","Bob Blink","","OL33812897W","https://openlibrary.org/works/OL33812897W"
"To All the Boys I've Loved Before","Jenny Han","1442426713","",""
"To Kill a Unicorn","John Corwin","","OL25539586W","https://openlibrary.org/works/OL25539586W"
"Tomorrow, and Tomorrow, and Tomorrow","Gabrielle Zevin","0735243344","",""
"Toys","James  Patterson","0316097365","",""
"Transcendent Kingdom","Yaa Gyasi","","OL20760225W","https://openlibrary.org/works/OL20760225W"
"Triangle: The Fire That Changed America","David von Drehle","","",""
"Truly Unfortunate","C.A. King","1988301610","",""
"Truly, Devious","Maureen Johnson","","OL18013978W","https://openlibrary.org/works/OL18013978W"
"Tuck Everlasting","Natalie Babbitt","0374480095","",""
"Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson","Mitch Albom","","",""
"Turtles All the Way Down","John Green","0141346019","OL17842319W","https://openlibrary.org/works/OL17842319W"
"Twenty Thousand Leagues Under the Sea","Jules Verne","","OL26674157W","https://openlibrary.org/works/OL26674157W"
"Twice Bitten","Chloe Neill","0451230647","",""
"Twilight","Stephenie Meyer","0316015849","",""
"Tyler Johnson Was Here","Jay Coles","0316440787","OL19734280W","https://openlibrary.org/works/OL19734280W"
"Unbroken: One Woman's Journey to Rebuild a Life Shattered by Violence. A True Story of Survival and Hope","Madeleine Black","1786062763","",""
"Undead and Unappreciated","MaryJanice Davidson","0425204332","",""
"Under a Flaming Sky","Daniel James Brown","","OL278362W","https://openlibrary.org/works/OL278362W"
"Unfu*k Yourself: Get Out of Your Head and Into Your Life","Gary John Bishop","","OL19657000W","https://openlibrary.org/works/OL19657000W"
"Unruly: The Ridiculous History of England's Kings and Queens","David   Mitchell","0593728491","",""
"Unspeakable Things","Jess Lourey","","OL21229733W","https://openlibrary.org/works/OL21229733W"
"Unstoppable: A 90-Day Plan to Biohack Your Mind and Body for Success","Ben Angel","1613083904","",""
"Until the End of the World","Sarah Lyons Fleming","1491054492","",""
"Untitled","Leigh Bardugo","","",""
"Upside Down in a Laura Ingalls Town","Leslie Tall Manning","0996130659","",""
"Veil of Shadows","Diana Marik","0991287509","OL24384806W","https://openlibrary.org/works/OL24384806W"
"Velocity","Abigail Boyd","","",""
"Venom","Jennifer Estep","1439148015","",""
"Vision in Silver","Anne Bishop","","OL19995227W","https://openlibrary.org/works/OL19995227W"
"Voices from Chernobyl: The Oral History of a Nuclear Disaster","Svetlana Alexievich","0312425848","",""
"Walk On: The Spiritual Journey Of U2","Steve  Stockman","0976035758","",""
"Warm Souls","Andre Gonzalez","1732776245","",""
"Warrior: The Moondark Saga","Don McQuinn","","",""
"We Are Never Meeting in Real Life.","Samantha Irby","1101912197","",""
"We Come Apart","Sarah Crossan","1408878879","OL21307932W","https://openlibrary.org/works/OL21307932W"
"We Had to Remove This Post","Hanna Bervoets","0358622360","",""
"We Need to Talk About Kevin","Lionel Shriver","","OL3359138W","https://openlibrary.org/works/OL3359138W"
"We Used to Live Here","Marcus Kliewer","1982198788","",""
"Wealth of Time","Andre Gonzalez","1732776229","OL20512649W","https://openlibrary.org/works/OL20512649W"
"Web of Lies","Jennifer Estep","","OL15165984W","https://openlibrary.org/works/OL15165984W"
"Weekends at Bellevue: Nine Years on the Night Shift at the Psych E.R.","Julie Holland","0553807668","OL24245086W","https://openlibrary.org/works/OL24245086W"
"West Cork","Sam Bungey","","",""
"What Alice Forgot","Liane Moriarty","0141043768","",""
"What Have You Done","Matthew Farrell","1503955656","OL21720547W","https://openlibrary.org/works/OL21720547W"
"What Next?: The Millennial's Guide to Surviving and Thriving in the Real World","Michael  Price","","",""
"When I Was You","Minka Kent","","OL20728357W","https://openlibrary.org/works/OL20728357W"
"When We Believed in Mermaids","Barbara O'Neal","1542004519","OL20778954W","https://openlibrary.org/works/OL20778954W"
"When We Let Go","Rochelle B. Weinstein","1662501021","OL27742778W","https://openlibrary.org/works/OL27742778W"
"When You Find My Body: The Disappearance of Geraldine Largay on the Appalachian Trail","D. Dauphinee","1608936902","",""
"When the Moon Hatched","Sarah A. Parker","","OL38010057W","https://openlibrary.org/works/OL38010057W"
"Where I Left Her","Amber Garza","0778332063","OL24867652W","https://openlibrary.org/works/OL24867652W"
"Where the Forest Meets the Stars","Glendy Vanderah","","OL19096400W","https://openlibrary.org/works/OL19096400W"
"Where the Red Fern Grows","Wilson Rawls","0375806814","",""
"Where the Sidewalk Ends: Poems and Drawings","Shel Silverstein","0060572345","",""
"Where the Wild Things Are","Maurice Sendak","0099408392","",""
"Which Comes First, Cardio or Weights?: Fitness Myths, Training Truths, and Other Surprising Discoveries from the Science of Exercise","Alex  Hutchinson","0062092081","",""
"While You Were Mine","Ann Howard Creel","","OL20488581W","https://openlibrary.org/works/OL20488581W"
"Whims of Fae - The Complete Series","Nissa Leder","","OL30480404W","https://openlibrary.org/works/OL30480404W"
"Whiskey & Charlie","Annabel Smith","","OL26320957W","https://openlibrary.org/works/OL26320957W"
"White Fang","K.A. Applegate","","",""
"White Witch, Black Curse","Kim Harrison","0061138010","",""
"Who She Was","Braylee Parkinson","","OL22627385W","https://openlibrary.org/works/OL22627385W"
"Who Thought This Was a Good Idea?: And Other Questions You Should Have Answers to When You Work in the White House","Alyssa Mastromonaco","1455588229","",""
"Wilder","G.K. DeRosa","","OL21163798W","https://openlibrary.org/works/OL21163798W"
"William Shakespeare's Much Ado About Mean Girls","Ian Doescher","1683691172","OL21200038W","https://openlibrary.org/works/OL21200038W"
"Witcher Series 6 Books Set Collection","David   French","","",""
"Without You, There Is No Us: My Time with the Sons of North Korea's Elite","Suki Kim","0307720659","",""
"Working with Bitches: Identify the Eight Types of Office Mean Girls and Rise Above Workplace Nastiness","Meredith Fuller","0738216585","",""
"World War I: The Definitive Visual History from Sarajevo to Versailles","R.G. Grant","1465419381","",""
"Wreckage","Emily Bleeker","","OL21272676W","https://openlibrary.org/works/OL21272676W"
"Written in Red","Anne Bishop","","OL16809978W","https://openlibrary.org/works/OL16809978W"
"Xenos","Dan Abnett","0743411692","",""
"You","Caroline Kepnes","","OL20168339W","https://openlibrary.org/works/OL20168339W"
"You Are Not Alone","Greer Hendricks","1250202035","",""
"You Know You Want This: "Cat Person" and Other Stories","Kristen Roupenian","","",""
"You Shouldn't Have Come Here","Jeneva Rose","","OL28721364W","https://openlibrary.org/works/OL28721364W"
"You're Next","Gregg Hurwitz","0751542113","OL20948313W","https://openlibrary.org/works/OL20948313W"
"Zealot: The Looming Tower, The Bible, The Quran, The Torah, Science and the Hidden Secrets Before 9/11","Faisal Fahim","1497428130","",""
"Zoey Is Too Drunk for This Dystopia","Jason Pargin","","OL34080132W","https://openlibrary.org/works/OL34080132W"
"Zoey Punches the Future in the Dick","David  Wong","","OL20867701W","https://openlibrary.org/works/OL20867701W"
"the hotel at the corner of bitter and sweet","Jamie Ford","","",""
