title,author,isbn,openLibraryId,url,description
""A ​Court of Silver Flames"",""Sarah J. Maas"",""1526602318"",""OL21703979W"",""https://openlibrary.org/works/OL21703979W"","Sarah J. Maas's sexy, richly imagined Court of Thorns and Roses series continues with the journey of Feyre's fiery sister, Nesta.

Nesta Archeron has always been prickly – proud, swift to anger and slow to forgive. And since the war – since being made High Fae against her will – she's struggled to forget the horrors she endured and find a place for herself within the strange and deadly Night Court.

The person who ignites her temper more than any other is Cassian, the battle-scarred, winged warrior who is there at Nesta's every turn. But her temper isn't the only thing Cassian ignites. And when they are forced to train in battle together, sparks become flame.

As the threat of war casts its shadow over them once again, Nesta and Cassian must fight monsters from within and without if they are to stand a chance of halting the enemies of their court. But the ultimate risk will be searching for acceptance – and healing – in each other's arms."
""About the Night"",""Anat Talshir"",""1503991032"",""OL20922739W"",""https://openlibrary.org/works/OL20922739W"",
""Absolution"",""Alice McDermott"",""0374610487"","""","""",
""Across Both Sides of the Mirror"",""Bianca Pensy Aba"","""","""","""",
""Act of Mercy"",""Mandy M. Roth"","""",""OL19920947W"",""https://openlibrary.org/works/OL19920947W"",
""Acts of Violet"",""Margarita Montimore"",""1250815061"","""","""",
""Addiction and Grace: Exploring the Psychology of Addiction"," the Power of Spirituality"," and the Path to Freedom Through Contemplative Practices"",""Gerald G. May"",""0061122432"",
""Adnan's Story: The Search for Truth and Justice After Serial"",""Rabia Chaudry"",""1250087112"","""","""","""In early 2000, Adnan Syed was convicted and sentenced to life plus thirty years for the murder of his ex-girlfriend Hae Min Lee, a high school senior in Baltimore, Maryland. Syed has maintained his innocence, and Rabia Chaudry, a family friend, has always believed him. By 2013, after almost all appeals had been exhausted, Rabia contacted Sarah Koenig, a producer at This American Life, in hopes of finding a journalist who could shed light on Adnan's story. In 2014, Koenig's investigation turned into Serial, a Peabody Award-winning podcast with more than 500 million international listeners. But Serial did not tell the whole story. In this compelling narrative, Rabia Chaudry presents new key evidence that she maintains dismantles the State's case: a potential new suspect, forensics indicating that after Hae was killed her body was kept somewhere for almost half a day, and documentation withheld by the State that refutes the cell phone evidence--among many other points. And she shows how fans of Serial joined an amazing crowd-sourced investigation into a case riddled with errors and strange twists. Adnan's Story also gives a sense of Adnan's life in prison and weaves in his personal reflections, including never-before-seen letters. Chaudry, who is committed to exonerating Adnan, makes it clear that justice has yet to be achieved in this much-examined case.""--Dust jacket."
""Adults"",""Emma Jane Unsworth"",""0008334595"",""OL20745344W"",""https://openlibrary.org/works/OL20745344W"",
""After All I've Done"",""Mina Hardy"","""",""OL21902936W"",""https://openlibrary.org/works/OL21902936W"",
""After Anna"",""Lisa Scottoline"","""",""OL19732576W"",""https://openlibrary.org/works/OL19732576W"",
""Agnes at the End of the World"",""Kelly McWilliams"",""0316487333"","""","""",
""Alas"," Babylon"",""Pat Frank"",""0060741872"",""OL2003035W"","A story of a group of people who rely on their own courage and ingenuity to survive in a town which escaped nuclear bombing."
""Albert Einstein: Father Of The Modern Scientific Age"",""Michael W. Simmons"","""","""","""",
""Alice’s Adventures in Wonderland / Through the Looking-Glass"",""Lewis Carroll"","""",""OL151411W"",""https://openlibrary.org/works/OL151411W"",
""Alive: The Story of the Andes Survivors"",""Piers Paul Read"","""","""","""",
""All These Beautiful Strangers"",""Elizabeth Klehfoth"","""",""OL19746420W"",""https://openlibrary.org/works/OL19746420W"",
""All These Bodies"",""Kendare Blake"",""0062977164"","""","""",
""All This I Will Give to You"",""Dolores Redondo"",""1503956229"",""OL20572704W"",""https://openlibrary.org/works/OL20572704W"",
